client_id,client_name,client_type,segment,region,province,age,gender,account_type,account_open_date,aum_thb,phone,email,risk_level,is_active
C00017,Patcharin Chaiyasit,Individual,Retail,Northeast,Udon Thani,32.0,M,Credit,2021-08-27,158280.22,096-108-5905,patcharin.cha@email.com,Low,True
C00018,Rattana Tangsiri,Individual,High Net Worth,South,Surat Thani,26.0,F,Margin,2023-07-23,5206135.0,089-719-4450,rattana.tan@email.com,Medium,True
C00019,Supaporn Pongpanich,Individual,Retail,Bangkok,Bangkok,31.0,M,Margin,2021-07-11,810241.8,093-949-5533,supaporn.pon@email.com,Medium,True
C00020,Nanthana Suwannapong,Individual,Retail,Northeast,Ubon Ratchathani,46.0,M,Margin,2021-12-09,2167073.17,080-214-2232,nanthana.suw@email.com,Low,True
C00021,Waraporn Rattanakit,Individual,High Net Worth,South,Krabi,51.0,M,Credit,2024-04-02,9528314.54,093-230-1685,waraporn.rat@email.com,Low,True
C00022,Chutima Prasertchai,Individual,High Net Worth,Bangkok,Bangkok,55.0,M,Cash,2020-09-16,3384646.33,097-995-7658,chutima.pra@email.com,Low,True
C00023,Patcharee Wattanasin,Individual,Retail,Bangkok,Bangkok,26.0,M,Credit,2020-12-14,32834.03,090-901-7745,patcharee.wat@email.com,Low,True
C00024,Somchai Boonlert,Individual,Retail,Bangkok,Bangkok,58.0,F,Credit,2020-03-11,196657.11,081-979-8711,somchai.boo@email.com,Medium,True
C00025,Somsak Jitpakdi,Individual,High Net Worth,Central,Pathum Thani,55.0,F,Credit,2024-12-13,6195330.67,086-508-6378,somsak.jit@email.com,High,True
C00026,Sompong Saengthong,Individual,Retail,South,Songkhla,48.0,F,Cash,2024-12-05,624563.17,083-998-5279,sompong.sae@email.com,Low,True
C00027,Wichai Phromwong,Individual,High Net Worth,North,Lampang,62.0,F,Cash,2022-08-21,6404073.66,099-623-2894,wichai.phr@email.com,High,True
C00028,Prasert Suksawat,Individual,Retail,South,Krabi,49.0,F,Margin,2021-03-26,278907.1,086-472-8066,prasert.suk@email.com,Medium,True
C00029,Thawatchai Thongsuk,Individual,Retail,Bangkok,Bangkok,27.0,M,Cash,2022-03-29,355218.59,089-782-7691,thawatchai.tho@email.com,Medium,True
C00030,Suphachai Wongsuwan,Institution,Institutional,Northeast,Nakhon Ratchasima,,,Credit,2021-08-19,24336941.15,098-408-7653,,Low,True
C00031,Anon Srisawat,Individual,Retail,South,Krabi,57.0,F,Margin,2021-05-31,704374.57,090-576-8238,anon.sri@email.com,Low,True
C00032,Kittisak Chaiyasit,Individual,Retail,North,Lampang,42.0,M,Cash,2024-07-23,87904.18,087-788-6085,kittisak.cha@email.com,Low,True
C00033,Chaiyaporn Tangsiri,Institution,Institutional,South,Phuket,,,Credit,2022-07-13,92544354.02,093-744-4185,chaiyaporn.tan@email.com,Low,True
C00034,Nattapong Pongpanich,Individual,Retail,Bangkok,Bangkok,39.0,F,Cash,2020-09-19,1025759.87,093-324-3881,nattapong.pon@email.com,High,True
C00035,Worawit Suwannapong,Individual,High Net Worth,Bangkok,Bangkok,61.0,F,Margin,2024-05-02,14321213.25,094-783-9702,worawit.suw@email.com,High,True
C00036,Siriwan Rattanakit,Individual,Retail,Northeast,Ubon Ratchathani,47.0,F,Margin,2024-03-11,58296.08,095-560-5246,siriwan.rat@email.com,Medium,True
C00037,Pornphan Prasertchai,Individual,Retail,North,Phitsanulok,60.0,M,Cash,2024-08-25,985672.49,089-340-5451,pornphan.pra@email.com,Low,True
C00038,Napaporn Wattanasin,Individual,Retail,Central,Pathum Thani,41.0,M,Credit,2024-09-21,357438.08,093-517-6421,napaporn.wat@email.com,Medium,True
C00039,Sasithorn Boonlert,Individual,Retail,South,Phuket,40.0,F,Credit,2020-04-12,205954.29,,sasithorn.boo@email.com,High,True
C00040,Kanokwan Jitpakdi,Institution,Institutional,South,Krabi,,,Credit,2023-11-06,29519190.14,095-324-5471,,High,True
C00041,Patcharin Saengthong,Individual,Retail,Northeast,Nakhon Ratchasima,41.0,M,Cash,2020-05-15,607043.49,,patcharin.sae@email.com,High,True
C00042,Rattana Phromwong,Individual,Retail,Northeast,Nakhon Ratchasima,44.0,F,Credit,2024-10-20,178965.23,088-488-6363,rattana.phr@email.com,Medium,True
C00043,Supaporn Suksawat,Individual,Retail,Bangkok,Bangkok,25.0,M,Cash,2024-12-22,18792.24,097-153-6733,supaporn.suk@email.com,Low,True
C00044,Nanthana Thongsuk,Individual,Retail,Bangkok,Bangkok,37.0,F,Credit,2023-09-30,163312.96,084-584-2874,nanthana.tho@email.com,Low,True
C00045,Waraporn Wongsuwan,Institution,Institutional,Bangkok,Bangkok,,,Credit,2023-05-04,23693027.61,083-692-1420,waraporn.won@email.com,Medium,True
C00046,Chutima Srisawat,Individual,Retail,Central,Nonthaburi,45.0,M,Margin,2021-10-06,336136.05,087-204-5941,chutima.sri@email.com,Low,True
C00047,Patcharee Chaiyasit,Corporate,Corporate,Northeast,Udon Thani,,,Credit,2024-09-11,10542896.27,,patcharee.cha@email.com,Low,True
C00048,Somchai Tangsiri,Individual,High Net Worth,North,Phitsanulok,35.0,F,Margin,2021-02-12,9513744.64,084-545-3885,somchai.tan@email.com,High,True
C00049,Somsak Pongpanich,Individual,Retail,Northeast,Ubon Ratchathani,54.0,M,Credit,2020-06-14,500251.87,098-374-6280,somsak.pon@email.com,Medium,True
C00050,Sompong Suwannapong,Individual,Retail,Northeast,Ubon Ratchathani,34.0,F,Credit,2023-03-14,901822.4,080-606-6325,sompong.suw@email.com,Medium,True
C00051,Wichai Rattanakit,Individual,Retail,North,Chiang Mai,45.0,M,Margin,2022-03-09,103216.05,086-187-4954,wichai.rat@email.com,Medium,True
C00052,Prasert Prasertchai,Individual,Retail,Northeast,Ubon Ratchathani,65.0,F,Margin,2020-08-21,8363.47,080-195-5820,prasert.pra@email.com,High,True
C00053,Thawatchai Wattanasin,Individual,Retail,South,Krabi,55.0,F,Credit,2023-02-26,128412.07,093-863-6419,thawatchai.wat@email.com,Low,True
C00054,Suphachai Boonlert,Individual,Retail,Central,Samut Prakan,51.0,F,Margin,2024-05-31,244479.35,097-880-4033,suphachai.boo@email.com,High,True
C00055,Anon Jitpakdi,Institution,Institutional,South,Krabi,,,Credit,2023-07-01,17397220.67,083-952-4180,anon.jit@email.com,Low,True
C00056,Kittisak Saengthong,Individual,Retail,Central,Samut Prakan,34.0,F,Cash,2024-10-29,60222.14,081-666-5786,kittisak.sae@email.com,Low,True
C00057,Chaiyaporn Phromwong,Institution,Institutional,Northeast,Ubon Ratchathani,,,Cash,2022-08-12,114916685.36,090-288-1841,chaiyaporn.phr@email.com,Low,True
C00058,Nattapong Suksawat,Individual,Retail,Bangkok,Bangkok,57.0,F,Margin,2024-03-26,405066.18,084-930-5978,nattapong.suk@email.com,High,True
C00059,Worawit Thongsuk,Individual,Retail,Central,Chonburi,51.0,F,Margin,2022-12-13,138438.52,094-553-5871,worawit.tho@email.com,High,True
C00060,Siriwan Wongsuwan,Individual,Retail,Bangkok,Bangkok,27.0,M,Cash,2021-07-29,214783.81,086-370-2330,siriwan.won@email.com,Low,True
C00061,Pornphan Srisawat,Individual,High Net Worth,South,Hat Yai,59.0,F,Cash,2023-06-14,14370486.75,081-337-5720,pornphan.sri@email.com,High,True
C00062,Napaporn Chaiyasit,Institution,Institutional,North,Chiang Rai,,,Cash,2022-09-13,85678109.6,083-657-4683,napaporn.cha@email.com,Low,True
C00063,Sasithorn Tangsiri,Individual,Retail,North,Lampang,47.0,F,Credit,2022-08-15,4619.8,083-579-5982,sasithorn.tan@email.com,Low,True
C00064,Kanokwan Pongpanich,Individual,Retail,Northeast,Udon Thani,55.0,M,Margin,2021-09-12,544581.19,088-126-2496,kanokwan.pon@email.com,Medium,True
C00065,Patcharin Suwannapong,Individual,Retail,Central,Ayutthaya,47.0,F,Cash,2022-03-05,588657.64,094-384-3973,patcharin.suw@email.com,Medium,True
C00066,Rattana Rattanakit,Individual,High Net Worth,North,Lampang,30.0,F,Margin,2021-04-29,4269749.34,083-978-3634,rattana.rat@email.com,Medium,True
C00067,Supaporn Prasertchai,Individual,High Net Worth,South,Phuket,35.0,F,Margin,2022-07-14,9861787.76,082-422-5135,supaporn.pra@email.com,Low,True
C00068,Nanthana Wattanasin,Individual,Retail,South,Hat Yai,31.0,F,Cash,2022-10-07,945978.04,081-292-9494,nanthana.wat@email.com,Low,True
C00069,Waraporn Boonlert,Individual,High Net Worth,Central,Samut Prakan,34.0,M,Margin,2022-08-17,5292081.54,095-224-1472,waraporn.boo@email.com,Low,True
C00070,Chutima Jitpakdi,Individual,Retail,Bangkok,Bangkok,46.0,M,Credit,2024-07-24,139850.1,087-961-2858,chutima.jit@email.com,High,True
C00071,Patcharee Saengthong,Corporate,Corporate,North,Phitsanulok,,,Cash,2020-05-27,14987749.94,095-583-4993,patcharee.sae@email.com,High,True
C00072,Somchai Phromwong,Institution,Institutional,Central,Nonthaburi,,,Margin,2023-07-15,59866719.29,093-448-9318,,Medium,True
C00073,Somsak Suksawat,Individual,High Net Worth,South,Hat Yai,75.0,F,Credit,2020-03-25,6391467.17,084-557-9824,somsak.suk@email.com,Medium,True
C00074,Sompong Thongsuk,Individual,Retail,Central,Chonburi,46.0,F,Credit,2022-12-08,640880.9,087-976-7730,sompong.tho@email.com,High,True
C00075,Wichai Wongsuwan,Individual,Retail,Central,Ayutthaya,45.0,F,Cash,2024-11-16,97466.79,084-614-6439,wichai.won@email.com,High,True
C00076,Prasert Srisawat,Institution,Institutional,Bangkok,Bangkok,,,Margin,2022-10-14,163878120.64,084-176-8692,prasert.sri@email.com,High,True
C00077,Thawatchai Chaiyasit,Institution,Institutional,Bangkok,Bangkok,,,Credit,2020-04-21,33114369.82,097-489-6188,thawatchai.cha@email.com,High,False
C00078,Suphachai Tangsiri,Individual,Retail,Bangkok,Bangkok,43.0,M,Credit,2021-07-18,1317761.73,089-332-2480,suphachai.tan@email.com,Low,True
C00079,Anon Pongpanich,Individual,Retail,Bangkok,Bangkok,39.0,F,Margin,2023-04-07,243145.97,081-400-6873,anon.pon@email.com,High,True
C00080,Kittisak Suwannapong,Institution,Institutional,Central,Pathum Thani,,,Margin,2024-08-22,29057311.57,099-991-7267,kittisak.suw@email.com,Low,True
C00081,Chaiyaporn Rattanakit,Individual,Retail,North,Phitsanulok,54.0,M,Cash,2023-08-27,406868.5,080-923-8622,chaiyaporn.rat@email.com,Medium,True
C00082,Nattapong Prasertchai,Institution,Institutional,South,Songkhla,,,Credit,2021-07-02,69541279.89,093-806-5097,nattapong.pra@email.com,Medium,True
C00083,Worawit Wattanasin,Individual,Retail,Northeast,Udon Thani,47.0,F,Credit,2021-11-10,2305284.87,,worawit.wat@email.com,Low,True
C00084,Siriwan Boonlert,Individual,Retail,Bangkok,Bangkok,35.0,M,Margin,2020-05-31,365247.66,089-894-4770,siriwan.boo@email.com,Medium,True
C00085,Pornphan Jitpakdi,Institution,Institutional,Central,Nonthaburi,,,Cash,2021-07-25,77501712.42,081-416-8222,pornphan.jit@email.com,Low,True
C00086,Napaporn Saengthong,Individual,High Net Worth,North,Phitsanulok,33.0,F,Cash,2024-02-06,4737810.42,086-235-9837,napaporn.sae@email.com,Medium,True
C00087,Sasithorn Phromwong,Individual,High Net Worth,Northeast,Udon Thani,61.0,M,Margin,2020-11-24,11306641.0,090-923-2886,sasithorn.phr@email.com,High,True
C00088,Kanokwan Suksawat,Institution,Institutional,Northeast,Udon Thani,,,Margin,2024-07-30,132230798.09,092-114-5332,kanokwan.suk@email.com,High,True
C00089,Patcharin Thongsuk,Individual,Retail,South,Hat Yai,62.0,F,Margin,2020-06-21,524859.54,091-210-4830,patcharin.tho@email.com,Low,True
C00090,Rattana Wongsuwan,Individual,High Net Worth,Northeast,Udon Thani,45.0,F,Cash,2021-06-11,10943097.37,093-219-3290,,Low,True
C00091,Supaporn Srisawat,Institution,Institutional,South,Surat Thani,,,Cash,2022-11-27,30624120.36,094-479-9850,supaporn.sri@email.com,Medium,True
C00092,Nanthana Chaiyasit,Individual,Retail,Northeast,Ubon Ratchathani,46.0,M,Credit,2023-07-08,18302.05,081-806-7070,nanthana.cha@email.com,Low,True
C00093,Waraporn Tangsiri,Individual,Retail,North,Lampang,34.0,F,Cash,2024-09-28,391147.29,092-382-4109,waraporn.tan@email.com,High,True
C00094,Chutima Pongpanich,Individual,Retail,South,Phuket,40.0,M,Margin,2024-10-19,19031.75,090-349-3063,chutima.pon@email.com,Low,True
C00095,Patcharee Suwannapong,Individual,High Net Worth,Central,Samut Prakan,45.0,M,Margin,2020-09-28,5232925.12,084-907-1046,patcharee.suw@email.com,Medium,True
C00096,Somchai Rattanakit,Individual,Retail,Bangkok,Bangkok,63.0,F,Cash,2024-05-06,121559.0,080-466-4898,,Low,True
C00097,Somsak Prasertchai,Individual,Retail,South,Phuket,46.0,M,Credit,2020-11-25,44605.51,082-587-8344,somsak.pra@email.com,High,True
C00098,Sompong Wattanasin,Individual,Retail,South,Phuket,73.0,F,Credit,2021-01-02,507268.72,096-408-8504,,Medium,True
C00099,Wichai Boonlert,Individual,High Net Worth,Northeast,Ubon Ratchathani,67.0,F,Credit,2024-09-02,21617785.04,082-429-3430,wichai.boo@email.com,High,True
C00100,Prasert Jitpakdi,Individual,Retail,Northeast,Ubon Ratchathani,57.0,F,Credit,2024-07-11,157925.73,083-973-4522,prasert.jit@email.com,Medium,True
C00101,Thawatchai Saengthong,Individual,Retail,Bangkok,Bangkok,37.0,F,Cash,2022-09-09,40852.58,090-781-5176,thawatchai.sae@email.com,Low,True
C00102,Suphachai Phromwong,Individual,Retail,Bangkok,Bangkok,35.0,F,Margin,2024-07-17,95153.27,091-931-3131,suphachai.phr@email.com,Low,True
C00103,Anon Suksawat,Individual,Retail,Northeast,Khon Kaen,64.0,M,Margin,2023-06-21,144002.99,099-419-6761,anon.suk@email.com,Medium,True
C00104,Kittisak Thongsuk,Individual,Retail,Bangkok,Bangkok,56.0,F,Margin,2020-05-05,164206.13,097-476-2882,kittisak.tho@email.com,High,True
C00105,Chaiyaporn Wongsuwan,Corporate,Corporate,South,Phuket,,,Credit,2021-09-01,31780348.1,088-129-3955,chaiyaporn.won@email.com,Medium,False
C00106,Nattapong Srisawat,Individual,Retail,Central,Chonburi,60.0,M,Margin,2021-05-25,473015.24,092-171-3324,nattapong.sri@email.com,High,True
C00107,Worawit Chaiyasit,Individual,Retail,Northeast,Ubon Ratchathani,36.0,M,Cash,2023-03-04,709090.92,085-478-6105,worawit.cha@email.com,Low,True
C00108,Siriwan Tangsiri,Individual,Retail,South,Phuket,29.0,F,Credit,2021-04-21,61690.2,082-378-8259,siriwan.tan@email.com,Medium,True
C00109,Pornphan Pongpanich,Individual,Retail,South,Phuket,42.0,F,Cash,2023-02-24,51478.46,093-213-5640,pornphan.pon@email.com,Low,True
C00110,Napaporn Suwannapong,Individual,Retail,South,Phuket,67.0,F,Credit,2025-01-15,320725.17,086-408-4460,napaporn.suw@email.com,Low,False
C00111,Sasithorn Rattanakit,Individual,Retail,Northeast,Nakhon Ratchasima,25.0,F,Cash,2024-05-11,478361.22,092-645-4770,sasithorn.rat@email.com,Medium,True
C00112,Kanokwan Prasertchai,Individual,Retail,Bangkok,Bangkok,29.0,F,Credit,2024-12-23,23181.16,094-179-6129,kanokwan.pra@email.com,Low,True
C00113,Patcharin Wattanasin,Individual,Retail,North,Chiang Rai,45.0,M,Credit,2020-08-03,970674.73,099-571-6928,patcharin.wat@email.com,High,True
C00114,Rattana Boonlert,Individual,High Net Worth,Bangkok,Bangkok,73.0,M,Margin,2020-03-15,3889264.34,089-863-6562,rattana.boo@email.com,High,True
C00115,Supaporn Jitpakdi,Individual,Retail,South,Surat Thani,42.0,M,Cash,2020-09-24,440673.69,091-459-3419,supaporn.jit@email.com,High,True
C00116,Nanthana Saengthong,Institution,Institutional,Bangkok,Bangkok,,,Margin,2020-10-01,52839122.28,095-575-8354,nanthana.sae@email.com,High,True
C00117,Waraporn Phromwong,Individual,Retail,North,Lampang,45.0,F,Margin,2024-03-27,515413.58,094-169-8682,waraporn.phr@email.com,Low,True
C00118,Chutima Suksawat,Individual,Retail,Bangkok,Bangkok,53.0,M,Margin,2022-06-30,243963.76,094-138-1932,chutima.suk@email.com,High,True
C00119,Patcharee Thongsuk,Corporate,Corporate,Northeast,Khon Kaen,,,Cash,2022-07-24,52151523.68,098-767-4084,patcharee.tho@email.com,Low,True
C00120,Somchai Wongsuwan,Individual,Retail,North,Chiang Mai,45.0,M,Credit,2022-04-03,35942.08,085-140-5059,somchai.won@email.com,Medium,True
C00121,Somsak Srisawat,Individual,Retail,Northeast,Ubon Ratchathani,39.0,M,Credit,2020-09-27,192078.59,090-795-1857,somsak.sri@email.com,Low,True
C00122,Sompong Chaiyasit,Individual,High Net Worth,Northeast,Udon Thani,47.0,M,Credit,2023-09-02,3117735.02,099-994-3463,sompong.cha@email.com,Medium,True
C00123,Wichai Tangsiri,Individual,High Net Worth,Northeast,Nakhon Ratchasima,37.0,M,Margin,2021-09-30,8965777.04,082-417-7171,wichai.tan@email.com,High,True
C00124,Prasert Pongpanich,Individual,Retail,South,Phuket,40.0,M,Credit,2021-06-17,1049707.91,,prasert.pon@email.com,Medium,True
C00125,Thawatchai Suwannapong,Individual,High Net Worth,Central,Pathum Thani,37.0,M,Margin,2024-08-25,3976666.48,089-964-2657,thawatchai.suw@email.com,Medium,True
C00126,Suphachai Rattanakit,Individual,High Net Worth,South,Surat Thani,55.0,M,Margin,2021-09-25,11221045.92,092-257-3658,suphachai.rat@email.com,Medium,False
C00127,Anon Prasertchai,Corporate,Corporate,North,Chiang Rai,,,Credit,2022-08-05,15641587.08,099-391-8355,anon.pra@email.com,Low,True
C00128,Kittisak Wattanasin,Individual,Retail,South,Hat Yai,36.0,M,Cash,2022-06-30,1335068.96,089-896-7256,kittisak.wat@email.com,High,True
C00129,Chaiyaporn Boonlert,Institution,Institutional,North,Chiang Mai,,,Margin,2021-06-27,38017780.47,095-995-7081,chaiyaporn.boo@email.com,Low,True
C00130,Nattapong Jitpakdi,Individual,High Net Worth,Central,Samut Prakan,58.0,F,Credit,2022-07-25,10023164.93,096-250-8167,nattapong.jit@email.com,Low,True
C00131,Worawit Saengthong,Individual,Retail,Northeast,Udon Thani,45.0,M,Margin,2023-10-06,875666.28,092-183-7142,worawit.sae@email.com,High,True
C00132,Siriwan Phromwong,Individual,Retail,Central,Pathum Thani,56.0,F,Credit,2024-11-13,1129395.26,089-949-8740,siriwan.phr@email.com,High,False
C00133,Pornphan Suksawat,Individual,Retail,Bangkok,Bangkok,41.0,F,Cash,2023-08-25,1498486.19,086-955-3449,pornphan.suk@email.com,Medium,True
C00134,Napaporn Thongsuk,Corporate,Corporate,Bangkok,Bangkok,,,Credit,2023-09-30,22039945.82,093-754-8489,napaporn.tho@email.com,High,True
C00135,Sasithorn Wongsuwan,Individual,Retail,South,Krabi,37.0,F,Cash,2023-09-23,297507.33,,sasithorn.won@email.com,High,True
C00136,Kanokwan Srisawat,Individual,Retail,South,Songkhla,59.0,M,Credit,2024-09-14,697918.94,096-657-9312,kanokwan.sri@email.com,Medium,False
C00137,Patcharin Chaiyasit,Individual,High Net Worth,Northeast,Udon Thani,30.0,M,Margin,2023-08-30,10794155.16,080-465-2106,patcharin.cha@email.com,High,True
C00138,Rattana Tangsiri,Individual,Retail,Central,Nonthaburi,36.0,F,Margin,2023-02-09,398730.66,097-446-3868,rattana.tan@email.com,Low,True
C00139,Supaporn Pongpanich,Individual,Retail,Bangkok,Bangkok,44.0,F,Credit,2024-11-16,1093309.33,089-306-1717,supaporn.pon@email.com,High,True
C00140,Nanthana Suwannapong,Individual,Retail,South,Hat Yai,52.0,M,Margin,2023-08-31,53304.36,081-871-4131,nanthana.suw@email.com,Medium,True
C00141,Waraporn Rattanakit,Individual,Retail,North,Phitsanulok,61.0,F,Credit,2022-11-03,603604.24,094-495-6554,waraporn.rat@email.com,High,True
C00142,Chutima Prasertchai,Individual,Retail,Bangkok,Bangkok,51.0,M,Credit,2024-08-22,42424.38,093-716-3956,chutima.pra@email.com,High,True
C00143,Patcharee Wattanasin,Individual,Retail,Northeast,Ubon Ratchathani,55.0,F,Margin,2024-02-24,2157729.28,094-459-8325,patcharee.wat@email.com,Medium,True
C00144,Somchai Boonlert,Individual,Retail,Bangkok,Bangkok,58.0,M,Cash,2021-04-27,1471082.27,092-472-9406,somchai.boo@email.com,High,True
C00145,Somsak Jitpakdi,Corporate,Corporate,Northeast,Khon Kaen,,,Cash,2024-05-17,32997984.6,082-341-7001,somsak.jit@email.com,High,True
C00146,Sompong Saengthong,Individual,Retail,Northeast,Udon Thani,39.0,F,Credit,2022-12-31,43597.0,094-881-2259,sompong.sae@email.com,High,True
C00147,Wichai Phromwong,Individual,High Net Worth,Bangkok,Bangkok,25.0,F,Credit,2020-12-16,14841188.38,085-611-9482,wichai.phr@email.com,High,True
C00148,Prasert Suksawat,Individual,Retail,South,Songkhla,63.0,M,Margin,2021-03-11,339252.55,095-304-3009,prasert.suk@email.com,Medium,True
C00149,Thawatchai Thongsuk,Individual,Retail,North,Lampang,36.0,M,Margin,2021-02-07,63245.5,082-663-9882,thawatchai.tho@email.com,High,True
C00150,Suphachai Wongsuwan,Individual,Retail,Central,Samut Prakan,44.0,F,Cash,2022-03-26,523784.19,087-224-4292,suphachai.won@email.com,Medium,True
C00151,Anon Srisawat,Individual,High Net Worth,North,Phitsanulok,50.0,F,Margin,2020-07-30,5348982.89,097-232-2412,anon.sri@email.com,Medium,True
C00152,Kittisak Chaiyasit,Individual,Retail,South,Phuket,46.0,F,Cash,2024-05-19,1014751.27,090-757-2215,kittisak.cha@email.com,High,True
C00153,Chaiyaporn Tangsiri,Individual,Retail,Central,Pathum Thani,45.0,F,Cash,2022-08-28,2478414.3,096-989-1907,chaiyaporn.tan@email.com,Low,True
C00154,Nattapong Pongpanich,Individual,Retail,Central,Samut Prakan,56.0,F,Cash,2022-03-05,403554.83,089-966-2292,nattapong.pon@email.com,High,True
C00155,Worawit Suwannapong,Corporate,Corporate,South,Phuket,,,Margin,2022-04-07,19808878.66,085-706-3526,worawit.suw@email.com,Medium,True
C00156,Siriwan Rattanakit,Individual,Retail,South,Phuket,39.0,F,Margin,2020-06-15,493837.09,080-183-1744,siriwan.rat@email.com,Low,True
C00157,Pornphan Prasertchai,Individual,Retail,Northeast,Khon Kaen,67.0,F,Credit,2022-04-17,1157116.38,097-396-5949,pornphan.pra@email.com,Medium,True
C00158,Napaporn Wattanasin,Individual,Retail,Bangkok,Bangkok,43.0,F,Margin,2022-08-14,483966.51,093-595-8609,napaporn.wat@email.com,Medium,True
C00159,Sasithorn Boonlert,Individual,Retail,North,Phitsanulok,56.0,F,Credit,2024-05-08,104202.08,091-627-2739,sasithorn.boo@email.com,Low,True
C00160,Kanokwan Jitpakdi,Individual,Retail,Bangkok,Bangkok,57.0,F,Margin,2022-12-06,40461.14,099-528-5067,kanokwan.jit@email.com,High,True
C00161,Patcharin Saengthong,Corporate,Corporate,Central,Ayutthaya,,,Credit,2022-03-13,90677311.51,094-610-6055,patcharin.sae@email.com,High,True
C00162,Rattana Phromwong,Individual,High Net Worth,Central,Pathum Thani,25.0,F,Credit,2021-10-24,6840392.17,091-149-1828,rattana.phr@email.com,High,False
C00163,Supaporn Suksawat,Individual,Retail,Bangkok,Bangkok,51.0,F,Cash,2024-05-01,88736.83,088-844-6992,supaporn.suk@email.com,High,True
C00164,Nanthana Thongsuk,Institution,Institutional,North,Lampang,,,Margin,2024-09-02,96449725.57,092-616-8378,nanthana.tho@email.com,High,True
C00165,Waraporn Wongsuwan,Institution,Institutional,Central,Nonthaburi,,,Cash,2022-11-16,74680200.21,091-913-6555,waraporn.won@email.com,Low,True
C00166,Chutima Srisawat,Individual,Retail,Northeast,Khon Kaen,56.0,M,Margin,2024-10-30,270851.25,081-240-6456,chutima.sri@email.com,High,True
C00167,Patcharee Chaiyasit,Institution,Institutional,South,Songkhla,,,Margin,2024-03-04,110519619.0,092-731-5902,patcharee.cha@email.com,High,True
C00168,Somchai Tangsiri,Individual,Retail,South,Songkhla,44.0,F,Margin,2022-06-03,831823.86,080-477-6427,somchai.tan@email.com,High,True
C00169,Somsak Pongpanich,Corporate,Corporate,South,Hat Yai,,,Cash,2023-08-06,8260190.2,098-691-4728,somsak.pon@email.com,High,True
C00170,Sompong Suwannapong,Individual,Retail,South,Hat Yai,41.0,F,Cash,2024-04-03,239736.85,087-132-2800,sompong.suw@email.com,Medium,True
C00171,Wichai Rattanakit,Corporate,Corporate,Northeast,Ubon Ratchathani,,,Margin,2020-03-10,41918264.15,081-822-3262,wichai.rat@email.com,Medium,True
C00172,Prasert Prasertchai,Individual,High Net Worth,North,Chiang Rai,25.0,F,Margin,2022-07-04,4596944.46,097-450-9950,prasert.pra@email.com,Medium,True
C00173,Thawatchai Wattanasin,Individual,Retail,Central,Samut Prakan,34.0,F,Credit,2021-12-15,1000213.07,089-330-5876,thawatchai.wat@email.com,Medium,True
